target,target1,date,date1,is_sick,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
25,m25,10/21/20,1,FALSE,1068,24,4.57,0.84,0.15,0.23,0.9,0.41,37.31,-1.99
25,m25,10/21/20,1,FALSE,996.5,22,5.69,0.83,0.15,0.19,0.9,0.38,37.46,-0.51
25,m25,10/21/20,1,FALSE,768.5,19,1.08,0.93,0.1,0.11,0.88,0.31,39.6,1.45
25,m25,10/21/20,2,FALSE,896.5,20,0.63,0.95,0.08,0,0.89,0.29,38.28,0.04
25,m25,10/21/20,2,FALSE,856,22,0.28,0.93,0.06,0.26,0.89,0.31,38.61,-0.04
25,m25,10/21/20,2,FALSE,779.5,23,0.45,0.93,-0.02,0,0.87,0.24,38.05,-0.17
25,m25,10/21/20,2,FALSE,765.5,19,0.63,0.89,0.13,0.17,0.87,0.36,38.61,-0.1
25,m25,10/21/20,3,FALSE,693.5,21,1,0.93,0.01,0.22,0.9,0.26,39.15,1.58
25,m25,10/21/20,3,FALSE,974,22,8.8,0.88,-0.02,0.38,0.89,0.25,37.29,-3.01
25,m25,10/21/20,3,FALSE,1132.5,24,0.45,1,0.34,0.28,0.88,0.24,37.69,-0.44
25,m25,10/21/20,3,FALSE,746,20,3.94,0.98,0.47,0.36,0.9,0.3,40.18,-1.26
25,m25,10/21/20,4,FALSE,546.5,15,1.08,0.82,0.1,0,0.88,0.24,39.39,0.17
25,m25,10/21/20,4,FALSE,659.5,21,1.72,0.95,0.43,0.22,0.87,0.24,39.52,0.01
25,m25,10/21/20,4,FALSE,1035.5,19,16.2,0.85,0.11,1.74,0.91,0.3,37.5,-3.5
25,m25,10/21/20,4,FALSE,695,17,0.8,0.8,-0.02,0,0.86,0.15,38.96,-0.09
25,m25,10/21/20,5,FALSE,676.5,17,0.45,0.8,0.17,0.24,0.86,0.32,39.49,0.06
25,m25,10/21/20,5,FALSE,459.5,15,0.45,0.86,0.05,0,0.88,0.24,38.82,-0.14
25,m25,10/21/20,5,FALSE,785,18,0.28,0.81,0.14,0,0.86,0.34,37.29,-0.02
25,m25,10/21/20,5,FALSE,740.5,16,3.49,0.8,0.21,0.21,0.86,0.35,37.07,-0.25
25,m25,10/21/20,6,FALSE,673.5,19,0.45,0.87,0.08,0,0.88,0.31,38.37,0
25,m25,10/21/20,6,FALSE,701,20,0.4,0.87,0.05,0,0.88,0.3,38.41,-0.09
25,m25,10/21/20,6,FALSE,1091,24,0.8,0.9,0.17,0.28,0.79,0.35,37.09,-0.79
25,m25,10/21/20,7,FALSE,747,17,107.69,0.81,0.51,0.83,0.74,0.65,38.31,-0.57
25,m25,10/21/20,7,FALSE,749,22,3.21,0.95,0.09,0.28,0.88,0.31,38.22,0.17
25,m25,10/21/20,7,FALSE,432,18,3.49,0.76,0.4,0.14,0.66,0.4,39.09,1.15
25,m25,10/21/20,7,FALSE,530.5,23,3.54,0.78,0.34,0,0.66,0.41,40.94,0.95
25,m25,10/21/20,8,FALSE,573.5,20,49.43,0.43,0.35,0.96,0.37,0.15,39.57,-1.71
25,m25,10/21/20,8,FALSE,641.5,17,1.46,0.76,0.18,0,0.82,0.34,38.15,-0.26
25,m25,10/21/20,8,FALSE,508,15,1.89,0.77,0.2,0,0.81,0.36,40.38,0.28
25,m25,10/21/20,8,FALSE,621.5,16,0.2,0.76,0.18,0,0.8,0.36,38.09,0.04
25,m25,10/21/20,9,FALSE,280,13,1.79,0.86,0.36,0,0.81,0.25,40.66,-0.17
25,m25,10/21/20,9,FALSE,482.5,14,1.34,0.77,0.14,0,0.82,0.29,38.6,-0.24
25,m25,10/21/20,9,FALSE,321,13,0.2,0.87,0.32,0.18,0.8,0.26,39.66,0
25,m25,10/21/20,9,FALSE,559,16,1.72,0.78,0.2,0.21,0.83,0.36,38.9,0.96
25,m25,10/21/20,10,FALSE,762,16,0.8,0.79,0.1,0,0.81,0.3,38.01,-0.02
25,m25,10/21/20,10,FALSE,645,16,0.45,0.78,0.08,0.22,0.82,0.26,39.26,-0.32
25,m25,10/21/20,10,FALSE,933.5,20,0.85,0.83,0.04,0,0.83,0.29,37.19,-0.17
25,m25,10/21/20,10,FALSE,777.5,18,0.72,0.83,0.05,0,0.83,0.28,37.21,-0.02
25,m25,10/21/20,11,FALSE,523.5,14,0.45,0.79,0.1,0,0.79,0.28,39.07,0.04
25,m25,10/21/20,11,FALSE,894.5,18,1.65,0.8,0.05,0,0.81,0.28,37.07,-0.06
25,m25,10/21/20,11,FALSE,421,12,0.2,0.77,0.13,0.38,0.8,0.26,38.63,-0.1
25,m25,10/21/20,11,FALSE,389,13,0.8,0.75,0.13,0.06,0.8,0.25,38.65,0
25,m25,10/21/20,12,FALSE,782,21,6.53,0.78,0.1,0.27,0.83,0.34,37.78,-0.99
25,m25,10/21/20,12,FALSE,1038.5,23,3.33,0.86,0.01,0.17,0.76,0.19,37.31,0.14
25,m25,10/21/20,12,FALSE,704.5,19,4.42,0.91,0.15,0.26,0.81,0.12,37.52,0.47
25,m25,10/21/20,12,FALSE,660.5,18,1.7,0.88,0.11,0,0.78,0.12,38.58,-0.19
25,m25,10/21/20,13,FALSE,304,16,1.81,0.84,-0.02,0.28,0.76,0.09,39.81,1.76
25,m25,10/21/20,13,FALSE,766,20,0.28,0.85,0.3,0,0.76,0.16,37.32,-0.48
25,m25,10/21/20,13,FALSE,620.5,19,0.57,0.85,0.33,0.16,0.77,0.18,38.43,-0.03
25,m25,10/21/20,13,FALSE,812.5,20,0.28,0.88,0.3,0.21,0.79,0.16,37.31,0
25,m25,10/21/20,14,FALSE,829,20,0.28,0.89,0.26,0.3,0.79,0.16,37.31,0.18
25,m25,10/21/20,14,FALSE,887,20,1.28,0.91,0.1,0.2,0.81,0.16,37.27,-0.23
25,m25,10/21/20,14,FALSE,607.5,27,8.35,1,0.23,0.41,0.86,0.2,39.37,1.26
25,m25,10/21/20,14,FALSE,838,21,3.62,0.92,0.15,0.37,0.8,0.12,37.48,-0.27
25,m25,10/21/20,15,FALSE,436,16,0.72,0.74,-0.02,0.15,0.68,0.12,41.01,0.22
25,m25,10/21/20,15,FALSE,671,18,0.28,0.79,0.21,0.33,0.69,0.21,39.02,-0.04
25,m25,10/21/20,15,FALSE,510,17,0.45,0.76,0.15,0,0.67,0.19,39.02,-0.02
25,m25,10/21/20,16,FALSE,409.5,15,0,0.73,0.21,0.28,0.65,0.2,40.32,0.06
25,m25,10/21/20,16,FALSE,482.5,17,0.57,0.75,0.12,0.1,0.67,0.22,40.1,0.04
25,m25,10/21/20,16,FALSE,432.5,16,0.72,0.75,0.11,0.35,0.68,0.21,41.04,0.14
25,m25,10/21/20,16,FALSE,451,16,1.41,0.76,0.15,0,0.67,0.21,40.86,0.2
25,m25,10/21/20,17,FALSE,745.5,18,3.49,0.81,0.17,0.93,0.73,0.3,40.43,0.03
25,m25,10/21/20,17,FALSE,620,16,0.57,0.71,-0.02,0,0.73,0.18,39.92,-0.26
25,m25,10/21/20,17,FALSE,646,16,1.56,0.7,-0.02,0.28,0.69,0.18,38.82,-0.65
25,m25,10/21/20,17,FALSE,761,19,0.72,0.8,0.02,0,0.72,0.18,40.94,-0.54
25,m25,10/21/20,18,FALSE,395,14,0,0.76,-0.01,0.1,0.7,0.1,39.43,-0.13
25,m25,10/21/20,18,FALSE,703.5,16,1.46,0.7,-0.02,0.22,0.73,0.18,39.01,0.51
25,m25,10/21/20,18,FALSE,970.5,21,0,0.76,0.21,0.21,0.65,0.15,39.95,-0.09
25,m25,10/21/20,18,FALSE,1020,21,1.22,0.75,0.12,0,0.64,0.18,40.03,-0.05
25,m25,10/21/20,19,FALSE,952.5,22,0.4,0.75,0.02,0.2,0.65,0.18,39.04,-0.07
25,m25,10/21/20,19,FALSE,953.5,23,1.08,0.75,0,0,0.64,0.18,38.82,-0.09
25,m25,10/21/20,19,FALSE,902.5,22,0.8,0.74,0.02,0,0.64,0.2,41.37,0.02
25,m25,10/21/20,19,FALSE,919,20,0.82,0.72,-0.02,0.06,0.66,0.19,39.37,-0.12
25,m25,10/21/20,20,FALSE,944.5,21,1.02,0.73,-0.02,0.25,0.66,0.19,40.06,-0.06
25,m25,10/21/20,20,FALSE,1093.5,22,0.2,0.75,0.03,0.18,0.65,0.19,39.24,-0.02
25,m25,10/21/20,20,FALSE,959.5,22,0.2,0.75,0.04,0.18,0.65,0.19,39.28,0.04
25,m25,10/21/20,20,FALSE,1017.5,23,0.82,0.75,0.04,0,0.64,0.19,39.31,-0.17
25,m25,10/21/20,21,FALSE,419,13,2,0.75,-0.02,0.22,0.71,0.12,39.51,-0.3
25,m25,10/21/20,21,FALSE,457.5,15,0.57,0.78,-0.02,0.08,0.72,0.12,39.84,-0.1
25,m25,10/21/20,21,FALSE,674,17,1.34,0.73,0.17,0.24,0.63,0.12,40.77,0.49
25,m25,10/21/20,21,FALSE,849.5,20,0.2,0.72,0.07,0,0.61,0.15,40.15,0.09
25,m25,10/21/20,22,FALSE,1116.5,20,0.82,0.67,-0.02,0.27,0.61,0.19,38.76,-0.15
25,m25,10/21/20,22,FALSE,1012,18,0.2,0.62,-0.02,0.19,0.61,0.2,39.2,-0.04
25,m25,10/21/20,22,FALSE,971.5,19,0.63,0.61,-0.02,0.24,0.62,0.21,38.91,0.18
25,m25,10/21/20,22,FALSE,803,20,0.57,0.61,-0.02,0.27,0.62,0.22,39.26,-0.02
25,m25,10/21/20,23,FALSE,833,19,0.28,0.66,-0.02,0.16,0.64,0.21,39.8,-0.19
25,m25,10/21/20,23,FALSE,549,16,9.85,0.72,-0.01,0.42,0.67,0.15,38.56,-2.08
25,m25,10/21/20,23,FALSE,1021.5,21,17.16,0.79,0.4,0,0.87,0.59,38.46,-1.01
25,m25,10/21/20,23,FALSE,789,16,0.4,0.57,-0.01,0,0.6,0.18,41.19,0.71
25,m25,10/21/20,24,FALSE,984,20,0.45,0.69,-0.01,0,0.62,0.19,38.27,-0.01
25,m25,10/21/20,24,FALSE,1006,23,1.41,0.71,-0.02,0,0.62,0.19,38.58,-0.05
25,m25,10/21/20,24,FALSE,1064.5,25,1.46,0.74,-0.01,0.07,0.63,0.18,38.41,0.11
25,m25,10/21/20,25,FALSE,982,24,1.41,0.74,-0.01,0,0.63,0.16,38.47,0.2
25,m25,10/21/20,25,FALSE,945.5,23,0.45,0.73,-0.01,0.04,0.63,0.16,38.51,-0.12
25,m25,10/22/20,25,FALSE,920.5,24,0.6,0.75,0,0,0.63,0.15,38.27,0.15
25,m25,10/22/20,25,FALSE,1146,22,0.57,0.68,-0.01,0,0.62,0.22,40.25,-0.07
25,m25,10/22/20,26,FALSE,1056,20,0.45,0.66,-0.02,0.16,0.62,0.21,39.62,-0.13
25,m25,10/22/20,26,FALSE,627,15,1,0.59,-0.02,0.33,0.63,0.15,42.85,0.24
25,m25,10/22/20,26,FALSE,980,20,0.72,0.65,-0.02,0.23,0.62,0.22,39.79,-0.01
25,m25,10/22/20,26,FALSE,635,17,0.4,0.74,0.1,0.29,0.65,0.12,40.32,0.04
25,m25,10/22/20,27,FALSE,962,19,0.28,0.66,-0.02,0,0.61,0.19,39.38,-0.02
25,m25,10/22/20,27,FALSE,674.5,18,0.63,0.73,0.17,0.24,0.63,0.21,38.73,0.04
25,m25,10/22/20,27,FALSE,860.5,23,23.84,0.74,0.32,0.57,0.63,0.16,38.54,-1.45
25,m25,10/22/20,27,FALSE,742.5,16,2.83,0.62,-0.02,0.47,0.61,0.18,40.26,0.09
25,m25,10/22/20,28,FALSE,596,18,3.05,0.7,0.11,0,0.61,0.12,39.69,-0.08
25,m25,10/22/20,28,FALSE,722.5,19,0.72,0.72,0.1,0.31,0.62,0.12,38.96,0
25,m25,10/22/20,28,FALSE,968.5,21,0.63,0.71,0.03,0.28,0.62,0.19,39.42,0.04
25,m25,10/22/20,28,FALSE,607,18,0.72,0.73,0.28,0.2,0.63,0.22,39.38,0
25,m25,10/22/20,29,FALSE,808.5,20,0.4,0.74,0.2,0.15,0.63,0.2,38.12,-0.04
25,m25,10/22/20,29,FALSE,692,19,0.45,0.73,0.31,0.13,0.63,0.24,38.69,-0.04
25,m25,10/22/20,29,FALSE,617,14,1.97,0.6,-0.02,1.54,0.6,0.15,40.79,1.7
25,m25,10/22/20,29,FALSE,1393.5,30,9.21,0.53,0.04,2.39,0.66,0.28,39.52,0.45
25,m25,10/22/20,30,FALSE,1009.5,20,0.28,0.56,-0.01,0.17,0.61,0.21,38.67,-0.17
25,m25,10/22/20,30,FALSE,967,20,0.82,0.57,-0.02,0,0.61,0.21,39.38,-0.02
25,m25,10/22/20,30,FALSE,278.5,19,2.88,0.31,0.12,0.08,0.34,0.35,41.15,0.6
25,m25,10/22/20,30,FALSE,647.5,16,0.82,0.55,-0.02,0.25,0.61,0.14,40.72,-0.52
25,m25,10/22/20,31,FALSE,713.5,15,3.4,0.58,-0.01,0.57,0.61,0.16,40.59,0.55
25,m25,10/22/20,31,FALSE,635.5,15,0.4,0.67,-0.02,0.19,0.63,0.15,40.43,0
25,m25,10/22/20,31,FALSE,826.5,17,1.08,0.64,-0.02,0,0.61,0.18,39.28,-0.27
25,m25,10/22/20,31,FALSE,779.5,18,2.28,0.69,0.23,0.39,0.6,0.14,41.83,-0.85
