target,target1,is_sick,date,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
25,m25,FALSE,10/22/20,667.32,18.52,3.52,0.61,0.15,0.31,0.55,0.21,39.81,-0.03
25,m25,FALSE,10/22/20,666.83,18.51,3.53,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
25,m25,FALSE,10/22/20,666.33,18.51,3.54,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
25,m25,FALSE,10/22/20,665.44,18.5,3.54,0.61,0.14,0.31,0.55,0.21,39.83,-0.02
25,m25,FALSE,10/22/20,664.26,18.49,3.53,0.61,0.15,0.31,0.55,0.21,39.84,-0.02
25,m25,FALSE,10/22/20,664.18,18.47,3.51,0.61,0.15,0.31,0.55,0.21,39.84,-0.02
25,m25,FALSE,10/22/20,663.04,18.45,3.5,0.61,0.15,0.31,0.55,0.21,39.85,-0.02
25,m25,FALSE,10/22/20,662.98,18.45,3.5,0.61,0.15,0.3,0.55,0.21,39.85,-0.02
25,m25,FALSE,10/22/20,663.25,18.46,3.5,0.61,0.15,0.3,0.54,0.21,39.85,-0.03
25,m25,FALSE,10/22/20,663.75,18.47,3.5,0.61,0.15,0.3,0.54,0.21,39.85,-0.03
25,m25,FALSE,10/22/20,664.69,18.49,3.5,0.61,0.15,0.3,0.54,0.21,39.84,-0.03
25,m25,FALSE,10/22/20,665.9,18.5,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
25,m25,FALSE,10/22/20,666,18.51,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
25,m25,FALSE,10/22/20,666.54,18.52,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
25,m25,FALSE,10/22/20,665.71,18.51,3.49,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
25,m25,FALSE,10/22/20,666.09,18.51,3.49,0.6,0.15,0.3,0.54,0.21,39.82,-0.03
25,m25,FALSE,10/22/20,665.9,18.53,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
25,m25,FALSE,10/22/20,665.38,18.53,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
25,m25,FALSE,10/22/20,665.47,18.53,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
25,m25,FALSE,10/22/20,664.66,18.54,3.5,0.6,0.15,0.3,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,664.12,18.54,3.52,0.6,0.15,0.3,0.54,0.21,39.82,-0.03
25,m25,FALSE,10/22/20,662.66,18.54,3.52,0.6,0.15,0.3,0.54,0.21,39.82,-0.03
25,m25,FALSE,10/22/20,661.74,18.54,3.53,0.6,0.15,0.3,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,660.38,18.52,3.53,0.6,0.15,0.3,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,659.32,18.5,3.53,0.6,0.15,0.3,0.54,0.2,39.82,-0.04
25,m25,FALSE,10/22/20,657.84,18.49,3.53,0.6,0.15,0.31,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,657.03,18.48,3.53,0.6,0.15,0.31,0.54,0.2,39.82,-0.03
25,m25,FALSE,10/22/20,655.39,18.48,3.56,0.6,0.15,0.31,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,654.02,18.45,3.57,0.6,0.15,0.31,0.54,0.2,39.83,-0.03
25,m25,FALSE,10/22/20,652.02,18.43,3.58,0.6,0.15,0.31,0.54,0.2,39.84,-0.04
25,m25,FALSE,10/22/20,652.46,18.43,3.58,0.6,0.15,0.31,0.53,0.2,39.84,-0.04
25,m25,FALSE,10/22/20,652.68,18.43,3.58,0.59,0.15,0.31,0.53,0.2,39.83,-0.04
25,m25,FALSE,10/22/20,652.47,18.43,3.57,0.59,0.15,0.31,0.53,0.2,39.83,-0.04
25,m25,FALSE,10/22/20,651.63,18.43,3.58,0.59,0.15,0.31,0.53,0.2,39.82,-0.04
25,m25,FALSE,10/22/20,649.86,18.43,3.59,0.59,0.15,0.31,0.53,0.2,39.83,-0.04
25,m25,FALSE,10/22/20,649.72,18.44,3.61,0.59,0.15,0.32,0.53,0.2,39.83,-0.04
25,m25,FALSE,10/22/20,648.67,18.45,3.65,0.59,0.15,0.32,0.53,0.2,39.84,-0.04
25,m25,FALSE,10/22/20,647.06,18.44,3.65,0.59,0.16,0.32,0.53,0.21,39.84,-0.04
25,m25,FALSE,10/22/20,645.5,18.42,3.65,0.59,0.16,0.32,0.53,0.21,39.84,-0.04
25,m25,FALSE,10/22/20,646.54,18.46,3.66,0.59,0.16,0.32,0.53,0.21,39.83,-0.04
25,m25,FALSE,10/22/20,644.62,18.44,3.6,0.59,0.16,0.32,0.53,0.21,39.84,-0.04
25,m25,FALSE,10/22/20,644.68,18.46,3.66,0.59,0.16,0.32,0.53,0.21,39.83,-0.05
25,m25,FALSE,10/22/20,643.6,18.46,3.84,0.59,0.17,0.32,0.53,0.21,39.84,-0.05
25,m25,FALSE,10/22/20,642.78,18.45,3.84,0.59,0.17,0.32,0.53,0.21,39.84,-0.04
25,m25,FALSE,10/22/20,641.1,18.37,3.85,0.59,0.17,0.32,0.53,0.21,39.85,-0.04
25,m25,FALSE,10/22/20,640.7,18.35,3.84,0.59,0.17,0.32,0.53,0.22,39.85,-0.04
25,m25,FALSE,10/22/20,640.38,18.34,3.85,0.59,0.17,0.32,0.53,0.22,39.86,-0.04
25,m25,FALSE,10/22/20,640.23,18.33,3.85,0.59,0.18,0.33,0.52,0.22,39.86,-0.05
25,m25,FALSE,10/22/20,638.72,18.31,3.85,0.59,0.18,0.33,0.52,0.22,39.86,-0.04
25,m25,FALSE,10/22/20,637.88,18.3,3.85,0.59,0.18,0.32,0.52,0.22,39.86,-0.04
25,m25,FALSE,10/22/20,638.55,18.31,3.84,0.59,0.18,0.32,0.52,0.22,39.85,-0.05
