date1,date,target,target1,is_sick,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
44125.00,10/21/20,25,m25,FALSE,833.23,19.68,5.39,0.66,0.15,0.32,0.67,0.29,38.82,-0.37
44125.00,10/21/20,25,m25,FALSE,831.86,19.67,5.38,0.66,0.15,0.32,0.66,0.29,38.82,-0.37
44125.00,10/21/20,25,m25,FALSE,830.49,19.66,5.37,0.66,0.15,0.32,0.66,0.29,38.83,-0.37
44125.00,10/21/20,25,m25,FALSE,829.12,19.65,5.36,0.66,0.15,0.32,0.66,0.29,38.84,-0.37
44125.00,10/21/20,25,m25,FALSE,827.75,19.64,5.35,0.66,0.15,0.32,0.66,0.29,38.85,-0.36
44125.00,10/21/20,25,m25,FALSE,826.37,19.63,5.34,0.66,0.15,0.32,0.66,0.29,38.85,-0.36
44125.00,10/21/20,25,m25,FALSE,825,19.62,5.32,0.66,0.15,0.32,0.66,0.29,38.86,-0.36
44125.00,10/21/20,25,m25,FALSE,823.63,19.61,5.31,0.66,0.15,0.32,0.66,0.29,38.87,-0.35
44125.00,10/21/20,25,m25,FALSE,822.26,19.6,5.3,0.66,0.15,0.32,0.66,0.29,38.87,-0.35
44125.00,10/21/20,25,m25,FALSE,820.89,19.59,5.29,0.66,0.15,0.32,0.66,0.28,38.88,-0.35
44125.00,10/21/20,25,m25,FALSE,819.52,19.58,5.28,0.66,0.15,0.32,0.66,0.28,38.89,-0.34
44125.00,10/21/20,25,m25,FALSE,818.14,19.57,5.27,0.66,0.15,0.32,0.66,0.28,38.9,-0.34
44125.00,10/21/20,25,m25,FALSE,816.77,19.56,5.26,0.66,0.15,0.32,0.66,0.28,38.9,-0.34
44125.00,10/21/20,25,m25,FALSE,815.4,19.55,5.24,0.66,0.15,0.32,0.66,0.28,38.91,-0.34
44125.00,10/21/20,25,m25,FALSE,814.03,19.54,5.23,0.66,0.15,0.32,0.66,0.28,38.92,-0.33
44125.00,10/21/20,25,m25,FALSE,812.66,19.53,5.22,0.66,0.15,0.32,0.66,0.28,38.92,-0.33
44125.00,10/21/20,25,m25,FALSE,811.29,19.52,5.21,0.66,0.15,0.32,0.66,0.28,38.93,-0.33
44125.00,10/21/20,25,m25,FALSE,809.91,19.51,5.2,0.66,0.15,0.32,0.66,0.28,38.94,-0.32
44125.00,10/21/20,25,m25,FALSE,808.54,19.5,5.19,0.66,0.15,0.32,0.65,0.28,38.95,-0.32
44125.00,10/21/20,25,m25,FALSE,807.17,19.49,5.18,0.66,0.15,0.32,0.65,0.28,38.95,-0.32
44125.00,10/21/20,25,m25,FALSE,805.8,19.48,5.16,0.66,0.15,0.32,0.65,0.28,38.96,-0.31
44125.00,10/21/20,25,m25,FALSE,804.43,19.47,5.15,0.66,0.15,0.32,0.65,0.28,38.97,-0.31
44125.00,10/21/20,25,m25,FALSE,803.06,19.46,5.14,0.66,0.15,0.32,0.65,0.28,38.97,-0.31
44125.00,10/21/20,25,m25,FALSE,801.68,19.45,5.13,0.66,0.15,0.32,0.65,0.28,38.98,-0.3
44125.00,10/21/20,25,m25,FALSE,800.31,19.44,5.12,0.66,0.15,0.32,0.65,0.28,38.99,-0.3
44125.00,10/21/20,25,m25,FALSE,798.94,19.43,5.11,0.66,0.15,0.32,0.65,0.28,38.99,-0.3
44125.00,10/21/20,25,m25,FALSE,797.57,19.42,5.09,0.66,0.15,0.32,0.65,0.28,39,-0.3
44125.00,10/21/20,25,m25,FALSE,796.2,19.41,5.08,0.66,0.15,0.31,0.65,0.27,39.01,-0.29
44125.00,10/21/20,25,m25,FALSE,794.83,19.4,5.07,0.66,0.15,0.31,0.65,0.27,39.02,-0.29
44125.00,10/21/20,25,m25,FALSE,793.45,19.39,5.06,0.66,0.15,0.31,0.65,0.27,39.02,-0.29
44125.00,10/21/20,25,m25,FALSE,792.08,19.38,5.05,0.66,0.15,0.31,0.65,0.27,39.03,-0.28
44125.00,10/21/20,25,m25,FALSE,790.71,19.37,5.04,0.66,0.15,0.31,0.65,0.27,39.04,-0.28
44125.00,10/21/20,25,m25,FALSE,789.34,19.36,5.03,0.66,0.15,0.31,0.65,0.27,39.04,-0.28
44125.00,10/21/20,25,m25,FALSE,787.97,19.35,5.01,0.66,0.15,0.31,0.65,0.27,39.05,-0.27
44125.00,10/21/20,25,m25,FALSE,786.6,19.34,5,0.66,0.15,0.31,0.64,0.27,39.06,-0.27
44125.00,10/21/20,25,m25,FALSE,785.22,19.33,4.99,0.66,0.15,0.31,0.64,0.27,39.07,-0.27
44125.00,10/21/20,25,m25,FALSE,783.85,19.32,4.98,0.66,0.15,0.31,0.64,0.27,39.07,-0.26
44125.00,10/21/20,25,m25,FALSE,782.48,19.31,4.97,0.66,0.15,0.31,0.64,0.27,39.08,-0.26
44125.00,10/21/20,25,m25,FALSE,781.11,19.3,4.96,0.66,0.15,0.31,0.64,0.27,39.09,-0.26
44125.00,10/21/20,25,m25,FALSE,779.74,19.29,4.95,0.66,0.15,0.31,0.64,0.27,39.09,-0.26
44125.00,10/21/20,25,m25,FALSE,778.37,19.28,4.93,0.66,0.15,0.31,0.64,0.27,39.1,-0.25
44125.00,10/21/20,25,m25,FALSE,776.99,19.27,4.92,0.66,0.15,0.31,0.64,0.27,39.11,-0.25
44125.00,10/21/20,25,m25,FALSE,775.62,19.26,4.91,0.66,0.15,0.31,0.64,0.27,39.12,-0.25
44125.00,10/21/20,25,m25,FALSE,774.25,19.25,4.9,0.66,0.15,0.31,0.64,0.27,39.12,-0.24
44125.00,10/21/20,25,m25,FALSE,772.88,19.24,4.89,0.66,0.15,0.31,0.64,0.27,39.13,-0.24
44125.00,10/21/20,25,m25,FALSE,771.51,19.23,4.88,0.66,0.15,0.31,0.64,0.26,39.14,-0.24
44125.00,10/21/20,25,m25,FALSE,770.14,19.22,4.86,0.66,0.15,0.31,0.64,0.26,39.14,-0.23
44125.00,10/21/20,25,m25,FALSE,768.76,19.21,4.85,0.66,0.15,0.31,0.64,0.26,39.15,-0.23
44125.00,10/21/20,25,m25,FALSE,767.39,19.2,4.84,0.66,0.15,0.31,0.64,0.26,39.16,-0.23
44125.00,10/21/20,25,m25,FALSE,766.02,19.19,4.83,0.66,0.15,0.31,0.64,0.26,39.16,-0.23
